code,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),United Kingdom,Not United Kingdom,United Kingdom (%),Not United Kingdom (%)
E02000001,78.6305084745763,3.91864406779661,12.7457627118644,2.61694915254237,2.08813559322034,21.3694915254237,4670,2705,63.3220338983051,36.6779661016949
E02000002,64.9889298892989,4.87084870848708,12.1033210332103,16.7232472324723,1.31365313653137,35.0110701107011,5159,1616,76.1476014760148,23.8523985239852
E02000003,54.6142359382778,4.31060228969637,22.7376804380289,16.1075161772026,2.22996515679442,45.3857640617223,7193,2852,71.6077650572424,28.3922349427576
E02000004,80.9770300873504,3.00873503720479,5.06308637981236,10.4982206405694,0.452927855063086,19.0229699126496,5292,890,85.6033646069233,14.3966353930767
E02000005,66.2695631861715,3.65568792338239,12.2634898388227,16.8768979210465,0.934361130576968,33.7304368138285,6425,2137,75.0408782994627,24.9591217005373
E02000007,67.1823455807075,3.49220793993857,5.98339210556251,22.7164145148447,0.62563985894665,32.8176544192925,6658,2133,75.7365487430327,24.2634512569674
E02000008,69.64301149624,4.13173135102429,7.63246607312646,17.3740167689515,1.21877431065779,30.35698850376,8839,2730,76.4024548362002,23.5975451637998
E02000009,61.1792733770101,4.35973793924955,14.5324597974985,18.8326384752829,1.0958904109589,38.8207266229899,5966,2429,71.0661107802263,28.9338892197737
E02000010,69.2048752176436,3.2501450957632,7.40568775391759,19.0481717933836,1.09112013929193,30.7951247823564,6534,2081,75.8444573418456,24.1555426581544
E02000011,66.3649587845483,3.26491029578148,11.0231129788266,18.5227089057702,0.824309035073541,33.6350412154518,4615,1572,74.5918862130273,25.4081137869727
E02000012,43.8915857605178,4.31836569579288,39.8563915857605,9.7997572815534,2.1338996763754,56.1084142394822,6689,3199,67.6476537216828,32.3523462783171
E02000013,68.9121637705308,4.45132111402047,7.81956676981671,17.7576767436325,1.05927160199952,31.0878362294692,6313,2089,75.1368721732921,24.8631278267079
E02000014,70.4850031908105,3.85024462880238,6.70070197830249,17.5494575622208,1.41459263986386,29.5149968091895,7024,2378,74.7075090406297,25.2924909593703
E02000015,63.2817664947772,4.53523733968002,5.67235224117414,25.2941954250959,1.21644849927278,36.7182335052228,5509,2054,72.8414650271056,27.1585349728944
E02000016,29.5857217300677,5.69306930693069,34.8619072433559,27.0062532569046,2.85304846274101,70.4142782699323,3193,4483,41.5971860343929,58.4028139656071
E02000017,31.2661802777124,3.51847493527889,50.3530242409979,12.5441280301247,2.31819251588609,68.7338197222876,4207,4291,49.505766062603,50.494233937397
E02000018,64.1394825646794,4.6681664791901,9.70753655793026,19.8987626546682,1.58605174353206,35.8605174353206,6363,2527,71.5748031496063,28.4251968503937
E02000019,63.8835186080232,3.91493475108748,9.03818269695505,22.0637989366844,1.09956500724988,36.1164813919768,5970,2306,72.1362977283712,27.8637022716288
E02000020,46.3561880120742,4.47391116860716,24.97843898232,21.7119448037947,2.47951703320397,53.6438119879258,5602,3674,60.3924105217766,39.6075894782234
E02000021,57.5404858299595,4.07388663967611,9.07135627530364,28.0743927125506,1.23987854251012,42.4595141700405,5267,2637,66.6371457489879,33.3628542510121
E02000022,38.2249060043295,5.66252705935969,16.8508602028028,35.8778625954198,3.38384413808819,61.7750939956705,4420,4357,50.3588925601003,49.6411074398997
E02000023,45.1712434433817,5.06016661524221,12.0796050601666,36.0536871336007,1.63529774760876,54.8287565566183,4110,2372,63.4063560629435,36.5936439370565
E02006799,62.1053710537105,4.51004510045101,17.0049200492005,14.7908979089791,1.58876588765888,37.8946289462895,7116,2640,72.939729397294,27.060270602706
E02000024,83.3989759747932,3.7810161480898,8.73375344623868,2.38282788499409,1.70342654588421,16.6010240252068,7999,2157,78.7613233556518,21.2386766443482
E02000025,78.7330316742082,4.61287078934138,8.97435897435897,4.65057817998995,3.02916038210156,21.2669683257919,6100,1856,76.6716943187532,23.3283056812469
E02000026,78.5838745445905,3.86504039284017,11.0565499762395,3.78583874544591,2.70869634088389,21.4161254554095,4752,1561,75.2732456835102,24.7267543164898
E02000027,69.6707647426547,5.45947072306731,12.3671598249635,9.4394665555324,3.06313815378204,30.3292352573453,7004,2594,72.9735361533653,27.0264638466347
E02000028,74.8621472591632,4.5896853713915,13.1852092118067,4.81673694453454,2.54622121310412,25.1378527408368,4598,1568,74.5702238079793,25.4297761920208
E02000029,74.9794528589879,5.81190560056358,10.6258072091112,5.87061171774099,2.71222261359634,25.0205471410121,6548,1969,76.881531055536,23.118468944464
