code,income
E02004297,700
E02004290,730
E02004298,730
E02004299,600
E02004291,540
E02004300,520
E02004292,700
E02004301,500
E02004302,510
E02004303,610
E02004293,520
E02004304,570
E02004294,850
E02004305,600
E02004295,670
E02004320,680
E02004321,570
E02004322,520
E02004296,640
E02004306,700
E02004323,610
E02004308,830
E02004309,660
E02004307,640
E02004324,590
E02004310,620
E02004311,630
E02004312,740
E02004313,580
E02004314,680
E02004316,590
E02004325,500
E02004315,920
E02004326,530
E02004328,560
E02004327,440
E02004329,650
E02004317,560
E02004330,480
E02004331,500
E02004318,680
E02004348,650
E02004332,630
E02004319,630
E02004349,510
E02004350,570
E02004333,630
E02004334,580
E02004335,460
E02004336,480
E02004351,480
E02004337,570
E02004338,490
E02004339,780
E02004352,540
E02004353,650
E02004354,550
E02004355,460
E02004340,460
E02004341,750
E02004342,480
E02004343,530
E02004344,570
E02004345,560
E02004346,700
E02004347,610
E02002559,850
E02002560,680
E02002561,670
E02002562,450
E02002563,570
E02002564,550
E02002565,620
E02002566,510
E02002567,490
E02002568,880
E02002569,810
E02002570,480
E02002571,520
E02002572,540
E02002573,740
E02002483,600
E02002484,410
E02002485,450
E02002487,440
E02002488,750
E02002489,500
E02002490,510
E02002491,490
E02002492,530
E02002493,640
E02002494,410
E02006909,730
E02002496,410
E02002497,400
E02002498,410
E02002499,460
E02002500,590
E02002501,520
E02002502,420
E02002503,540
E02002504,700
E02002505,460
E02002506,470
E02002507,760
E02002508,680
E02002509,580
E02002510,630
E02002512,860
E02002513,530
E02002514,620
E02006811,780
E02005706,570
E02005707,670
E02005708,560
E02005702,790
E02005703,550
E02005704,620
E02005705,730
E02005720,610
E02005734,490
E02005735,520
E02005721,710
E02005737,620
E02005736,520
E02005738,710
E02005722,900
E02005723,600
E02005739,610
E02005724,930
E02005727,710
E02005740,510
E02005741,720
E02005709,420
E02005710,570
E02005711,520
E02005712,630
E02005713,810
E02005714,1170
E02005716,620
E02005715,580
E02005717,640
E02005718,670
E02005719,620
E02005725,800
E02005726,950
E02005730,730
E02005729,840
E02005728,630
E02005731,710
E02005732,850
E02005733,740
E02002515,490
E02002516,550
E02002517,510
E02002518,680
E02002519,460
E02002520,640
E02002521,610
E02002523,390
E02002524,550
E02002525,490
E02002526,570
E02002527,480
E02002529,580
E02002530,530
E02002532,510
E02002533,730
E02002534,750
E02006812,560
E02006910,550
E02002535,770
E02002536,570
E02002537,560
E02002538,610
E02002539,880
E02002540,740
E02002541,630
E02002542,560
E02002543,500
E02002544,490
E02002545,740
E02002546,530
E02002547,670
E02002548,440
E02002549,710
E02002550,710
E02002551,480
E02002552,570
E02002553,560
E02002554,490
E02002555,770
E02002556,920
E02002557,950
E02002558,820
E02001682,660
E02001683,710
E02001684,560
E02001685,550
E02001686,630
E02001688,520
E02001689,500
E02001690,670
E02001691,640
E02001692,510
E02001693,500
E02001694,640
E02001695,680
E02001696,540
E02001697,790
E02001698,750
E02001699,550
E02001700,650
E02001701,760
E02001702,500
E02001703,720
E02001704,570
E02001705,570
E02001706,550
E02001707,580
E02006841,600
E02006842,630
E02001708,710
E02001709,930
E02001710,570
E02001711,590
E02001712,920
E02001713,950
E02001714,950
E02001715,610
E02001718,530
E02001719,800
E02001720,830
E02001721,560
E02001722,530
E02001723,570
E02001724,740
E02001725,660
E02001726,560
E02001727,570
E02001728,570
E02001729,550
E02001730,650
E02001731,520
E02001732,490
E02001733,510
E02001734,510
E02001735,430
E02001736,450
E02001737,400
E02006893,640
E02001738,900
E02001739,590
E02001740,1020
E02001741,670
E02001742,880
E02001743,790
E02001744,670
E02001745,650
E02001746,740
E02001747,750
E02001748,670
E02001749,700
E02001750,770
E02001751,620
E02001752,580
E02001753,760
E02001754,790
E02001755,790
E02001756,620
E02001757,590
E02001758,650
E02001759,630
E02001760,510
E02001761,590
E02001762,710
E02001763,490
E02001764,470
E02001765,490
E02001766,570
E02001767,580
E02001768,580
E02001769,440
E02001770,650
E02001771,560
E02001772,590
E02001773,720
E02001774,510
E02001775,500
E02001776,550
E02001777,640
E02001778,490
E02001779,470
E02001780,550
E02001781,470
E02001782,540
E02001783,500
E02001784,560
E02001785,600
E02001786,550
E02001787,560
E02001788,580
E02001789,960
E02001790,740
E02001791,730
E02001792,760
E02001793,470
E02001794,520
E02001795,490
E02001796,590
E02001797,720
E02001798,520
E02001799,480
E02001800,620
E02001801,600
E02001802,510
E02001803,530
E02001804,540
E02001805,640
E02001806,450
E02001807,580
E02001808,650
E02001809,620
E02001810,660
E02001811,480
E02001812,790
E02001813,490
E02001814,560
E02001815,760
E02001816,480
E02001817,530
E02001818,600
E02001819,750
E02001820,590
E02001821,710
E02001822,640
E02001823,550
E02001824,580
E02001825,540
E02001826,480
E02002615,590
E02002616,850
E02002617,640
E02002618,760
E02002619,590
E02002620,450
E02002621,580
E02002622,510
E02002623,500
E02002624,860
E02002625,610
E02002626,600
E02002627,890
E02002628,600
E02002629,510
E02002630,560
E02002631,670
E02002632,980
E02002633,540
E02002634,560
E02002635,560
E02002636,620
E02002637,640
E02002638,440
E02002639,460
E02002640,410
E02002641,660
E02002642,380
E02002643,540
E02002644,730
E02002645,430
E02002646,530
E02002647,520
E02002648,560
E02002649,560
E02002650,550
E02002651,570
E02003853,920
E02003854,930
E02003855,840
E02003856,720
E02003857,940
E02003858,1020
E02003859,790
E02003860,1010
E02003861,760
E02003863,920
E02003862,980
E02003864,910
E02003865,810
E02003866,1210
E02003867,870
E02003868,660
E02003869,840
E02003870,690
E02003871,670
E02003872,870
E02003873,600
E02003811,910
E02003812,870
E02003813,680
E02003814,820
E02003815,600
E02003816,650
E02003817,770
E02003818,890
E02003819,750
E02003820,880
E02003821,650
E02003822,740
E02003825,980
E02003826,610
E02003827,540
E02003828,590
E02003829,640
E02003830,600
E02003823,720
E02003831,930
E02003824,930
E02003832,730
E02003833,730
E02003834,650
E02003835,880
E02003836,580
E02003838,740
E02003837,950
E02003839,690
E02003840,770
E02003841,730
E02003874,750
E02003875,840
E02003842,970
E02003843,650
E02003844,730
E02003845,530
E02003846,590
E02003847,920
E02003848,610
E02003849,540
E02003876,680
E02003850,730
E02003851,850
E02003877,840
E02003852,840
E02003878,760
E02003879,660
E02003880,660
E02003881,700
E02003882,670
E02003794,850
E02003883,1120
E02003884,890
E02003795,910
E02003885,870
E02003796,700
E02003797,890
E02003798,610
E02003800,880
E02003799,560
E02003801,850
E02003802,630
E02003803,670
E02003886,670
E02003804,760
E02003887,810
E02003888,610
E02003805,880
E02003889,630
E02003806,1090
E02003890,700
E02003807,810
E02003808,700
E02003891,820
E02003809,860
E02003810,780
E02002574,830
E02002575,970
E02002576,590
E02002577,550
E02002578,670
E02002579,620
E02002580,500
E02002581,680
E02002582,1030
E02002583,460
E02002584,660
E02002585,580
E02002586,530
E02002587,600
E02002588,530
E02002589,780
E02002590,890
E02002591,720
E02002592,760
E02002593,690
E02002594,690
E02002595,510
E02002596,770
E02002597,550
E02002598,1160
E02002599,990
E02002600,570
E02002601,720
E02002602,530
E02002603,770
